wgEncodeCaltechHistC2c12Ab3594FCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12Ab3594FCntrl50bPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bE2p24hPcr2xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3ac06599FCntrl32bPcr2xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xAlnRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xPkRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k04me3FCntrl50bPcr1xSigRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xAlnRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xPkRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xRawDataRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k27me3FCntrl32bPcr2xSigRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xAlnRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xPkRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12H3k36me3FCntrl50bPcr1xSigRep1	Caltech-m	2011-08-10	n/a	2012-05-10
wgEncodeCaltechHistC2c12InputFCntrl32bE2p24hPcr2xAlnRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bE2p24hPcr2xRawDataRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bE2p24hPcr2xSigRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bPcr2xAlnRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bPcr2xRawDataRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl32bPcr2xSigRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl50bPcr1xAlnRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl50bPcr1xRawDataRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechHistC2c12InputFCntrl50bPcr1xSigRep1	Caltech-m	2011-09-23	n/a	2012-06-23
wgEncodeCaltechRnaSeq	n/a	n/a	n/a	n/a
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200AlnRep1	Caltech-m	2012-03-20	2012-04-18	2012-12-20
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hAlnRep1	Caltech-m	2012-03-19	2012-04-18	2012-12-19
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hFastqRd1Rep1	Caltech-m	2012-03-19	2012-04-18	2012-12-19
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hFastqRd2Rep1	Caltech-m	2012-03-19	2012-04-18	2012-12-19
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hRawRep1	Caltech-m	2012-04-16	2012-04-18	2013-01-16
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200E2p60hSigRep1	Caltech-m	2012-03-19	2012-04-18	2012-12-19
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200FastqRd1Rep1	Caltech-m	2012-03-20	2012-04-18	2012-12-20
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200FastqRd2Rep1	Caltech-m	2012-03-20	2012-04-18	2012-12-20
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200RawRep1	Caltech-m	2012-04-16	2012-04-18	2013-01-16
wgEncodeCaltechRnaSeq10t12C3hFR2x75Th131Il200SigRep1	Caltech-m	2012-03-20	2012-04-18	2012-12-20
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200AlnRep1	Caltech-m	2012-01-31	2012-04-17	2012-10-31
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hAlnRep1	Caltech-m	2012-01-31	2012-04-17	2012-10-31
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hFastqRd1Rep1	Caltech-m	2012-02-01	2012-04-17	2012-11-01
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hFastqRd2Rep1	Caltech-m	2012-02-01	2012-04-17	2012-11-01
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hRawRep1	Caltech-m	2012-04-16	2012-04-18	2013-01-16
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hSigRep1	Caltech-m	2012-02-01	2012-04-18	2012-11-01
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200FastqRd1Rep1	Caltech-m	2012-01-31	2012-04-18	2012-10-31
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200FastqRd2Rep1	Caltech-m	2012-01-31	2012-04-18	2012-10-31
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200RawRep1	Caltech-m	2012-04-16	2012-04-18	2013-01-16
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200SigRep1	Caltech-m	2012-01-31	2012-04-17	2012-11-31
wgEncodeCaltechTfbs	n/a	n/a	n/a	n/a
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xAlnRep2	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep2	Caltech-m	2011-08-11	n/a	2012-05-11
